Test name,Total connections,Duration,Conn Rate,Reply Size
4KB,1000,0.217,4598.3,483.0
4KB,1000,0.253,3949.2,483.0
4KB,1000,0.234,4277.7,483.0
4KB,1000,0.205,4884.3,483.0
4KB,1000,0.205,4867.5,483.0
4KB,1000,0.205,4875.4,483.0
4KB,1000,0.208,4805.6,483.0
4KB,1000,0.204,4901.7,483.0
4KB,1000,0.207,4828.4,483.0
4KB,1000,0.212,4723.5,483.0
4KB,1000,0.216,4622.5,483.0
4KB,1000,0.218,4587.3,483.0
4KB,1000,0.239,4184.2,483.0
4KB,1000,0.205,4873.3,483.0
4KB,1000,0.220,4554.2,483.0
4KB,1000,0.227,4401.4,483.0
4KB,1000,0.204,4907.3,483.0
4KB,1000,0.231,4321.5,483.0
4KB,1000,0.210,4758.4,483.0
4KB,1000,0.202,4943.3,483.0
4KB,1000,0.248,4036.1,483.0
4KB,1000,0.201,4972.6,483.0
4KB,1000,0.213,4684.0,483.0
4KB,1000,0.220,4535.2,483.0
4KB,1000,0.229,4376.4,483.0
4KB,1000,0.204,4897.0,483.0
4KB,1000,0.211,4732.9,483.0
4KB,1000,0.242,4125.5,483.0
4KB,1000,0.210,4767.7,483.0
4KB,1000,0.219,4563.7,483.0
4KB,1000,0.210,4751.3,483.0
4KB,1000,0.244,4106.2,483.0
4KB,1000,0.211,4742.4,483.0
4KB,1000,0.215,4658.1,483.0
4KB,1000,0.204,4891.3,483.0
4KB,1000,0.239,4178.3,483.0
4KB,1000,0.206,4852.6,483.0
4KB,1000,0.218,4578.5,483.0
4KB,1000,0.213,4687.0,483.0
4KB,1000,0.242,4128.7,483.0
4KB,1000,0.244,4093.2,483.0
4KB,1000,0.221,4530.5,483.0
4KB,1000,0.211,4728.5,483.0
4KB,1000,0.222,4500.5,483.0
4KB,1000,0.214,4668.5,483.0
4KB,1000,0.209,4781.9,483.0
4KB,1000,0.204,4900.0,483.0
4KB,1000,0.210,4757.2,483.0
4KB,1000,0.205,4883.0,483.0
4KB,1000,0.211,4738.3,483.0
4KB,1000,0.212,4722.9,483.0
4KB,1000,0.211,4733.9,483.0
4KB,1000,0.200,5008.5,483.0
4KB,1000,0.198,5039.0,483.0
4KB,1000,0.203,4932.9,483.0
4KB,1000,0.203,4915.8,483.0
4KB,1000,0.211,4733.0,483.0
4KB,1000,0.225,4437.2,483.0
4KB,1000,0.210,4768.4,483.0
4KB,1000,0.207,4832.7,483.0
4KB,1000,0.208,4809.8,483.0
4KB,1000,0.198,5051.9,483.0
4KB,1000,0.200,4997.1,483.0
4KB,1000,0.209,4776.1,483.0
4KB,1000,0.205,4871.0,483.0
4KB,1000,0.196,5112.3,483.0
4KB,1000,0.212,4721.7,483.0
4KB,1000,0.203,4922.6,483.0
4KB,1000,0.206,4842.7,483.0
4KB,1000,0.195,5134.4,483.0
4KB,1000,0.198,5056.3,483.0
4KB,1000,0.207,4841.4,483.0
4KB,1000,0.197,5071.1,483.0
4KB,1000,0.208,4819.0,483.0
4KB,1000,0.207,4833.9,483.0
